hashed_id,userid,assignment,version_b,friday
b943e5693c3278f0f88736d29bd10f2e466a9191f83baa0a9aa94ca61378d1cd9e532d90d766998b8a0f9872d3321b6fca7dd047d08ea4a3605d215929fe1b7a,sg_user00077,1,1.0,0.0
4629376b5870ad381fb597b1d26cccaa2fad637ffb9147c32a7ad44b20995985815a4a0eeca78fe8409b5f58f0356202d0d8f463d74bc0971446e199dd867216,sg_user00078,1,0.0,1.0
2e47d39da8a1df3f970452eaebec8cf76f9ef438b86b33cddcf96bc899806c98f4f23616ee4f9cb8f1d51f8786a051dd7afbd232bb02604a592115d3dd2dd100,sg_user00079,1,0.0,1.0
fa929a59f093339361d959f3ec898da42b0b5089e0260230bba653fd59773989e5bdbee21bbc77523708520664b29138f3e6238b64910ccd3441098f223df986,sg_user00080,1,0.0,0.0
74a632994cec01a007b2cf6408746f30071f1a21bd5be626602ee8a864448b0151fe12e5aa3dd1ab19175c54389f8c36c5f61f8b6eb2f77bae153a7b28f1468d,sg_user00081,1,1.0,1.0
0526d3caaa617d01c52c57348651dce7ce17a2857d66b7574dffa0dcdc5fca0f416ef71f97bf27b5e5e10cddea4132eda3afabc0408321c9f4dcc3fea12644d9,sg_user00082,0,,
6253b7b13692d9367ce20e1bfe9493dc244fb6f7a82ba68ca0f022dd040b0f3feaa7e8ead67bdf6363083fa952aed550fb1cd3cb614faf30693fb5730f34d4d9,sg_user00083,1,0.0,1.0
cb7b051f315683dd266176bb72c7eee50713f428c20c365ac60b5c61accc19c86e9766e80f0cfc9b5d348accf0fa968d6154f012d0ae8b6e454f630860b4118b,sg_user00084,1,1.0,0.0
5e82227279c41c440daf114a8123c6a941eda5a994e1f33eb554a53f8c50da6eb7d198ae292d1930159c52b3c40ae356bed4e50bf9fa0635b5cea20bd535bade,sg_user00085,0,,
eda5e2bf0e4ab9969e33e905d253a498c41b961ccb60491115a8264b77e07f1185912617e3a9a2c53639f15555e99b8336722f3ca1f216b37315b63c4d374797,sg_user00086,1,1.0,0.0
56bd256fd50bbb4d47576a9b238b3570e3b734dad43d776965e7eb930ab3c3a551b3f4af0c32e7994ec53fe67d4cfa2615be4188640d0f11bcb3fc9c4e668db1,sg_user00087,1,1.0,1.0
748d12d1120a32a81f2d65b31005520c1f5361710b9bef4d713182f3b1425f6fa8bc162a253e27b9606dc5c02a8cc827f45a768c85a54076b1c407c3b7706792,sg_user00088,1,1.0,0.0
59410f88ba8a626db56168bd1952df33fba999041e61be671d4e43e284d954a4d9b39299657f4f6a76839d22605fc37850c2274a842c6d3cc80a6822e0dfb1e9,sg_user00089,0,,
2aadcde18d8f754eef73d3d9dff45f0159aeeea6cdaff3459ca647e4da5b39455d320d29aba22dd566051c982ae0bcfe2438bba0afd3988ca8654b8458e9d5bb,sg_user00090,1,0.0,0.0
41605f68e9d30b4feb72c3945d8fda712e28be5738e8cf2eb2f046e4906d20aa006dc9d1dff46813c762a3a6517b5e2440f343c2c44dfc8fe1378c5d149214fe,sg_user00091,0,,
952e3b19f3f42f17621adc2339a8ab15e0e7ba9505a1a38f3595a75a997b06c807d60c4a8a00bfcfb5455ecb25ce88219c0e7f46dde9cd3a6eafe22037c4d77d,sg_user00092,1,0.0,1.0
05e25913783a64f93bf237dea19f430c80a6db84ae3a595ec395ba54eaed9d60f9b97debcc131e77ae1a1e823ef0847c047a297d3daa929cc5f79a576c0dc741,sg_user00093,1,0.0,0.0
aff1985d72a3ed6365ec48ee7879b4bbe5d0609b63535f2a8533f832457188b9057590c5a671f4feb9d3a4241c8a73202c6eba294a572d4a3fe6aebc0d47551a,sg_user00094,1,0.0,1.0
36fc72450cd5a7cb5bc09ecf83a26f22bd753b7c019e510dafe6659b2e5d75b343199755cf22530dfbeecf189fd6746923f436d41fee96ad272d1e2d7a8fafd6,sg_user00095,1,0.0,0.0
afada08d810a987907d93784b4ec977fed483999773a302907677f1351736b284fa5758f41369f97c5d089af4f8ddd6beff11b12a9c7b77d7af2f4c96ded4e07,sg_user00096,1,0.0,0.0
b61d7fc05f40d1ddfcd79ae69496b64b708f4a6e69916bc2657f49d5208d2890a1ae9f766d802f7ed477c102035638db7b3f8530d30b8c30143feca8c317d24c,sg_user00097,1,0.0,1.0
47a52ed52e8fabe671acb1aecd0ee27d89a23cf427d23281ac96433a95b53d96a3cf1d9a42e498a454952e379684f972db52727a1cc4277a85c48aa42500b3b4,sg_user00098,0,,
04d5e63ca4e78349c93adc1193caf3371ae8e7463b66f6dce651f775f43ff2ab2a9280c89a50865bd1af6948daa2adac81591d5caec98e845f10acc02118ad29,sg_user00099,1,0.0,1.0
9bbfc862273e6a6ce7319597dcbab83e715ca1abd9dfe601614bf1c4440391770fe0654c9809c3ca04d8343544a70d9d47f9553e0a16a63137219073b21f41d0,sg_user00100,1,1.0,0.0
e7ff8632af74c027a213614a31cb5eda1e1eae408bff3c6b5fa3d9e99b7abf0845d1d0e35bc58a5fc49ff7042dba7228891be08e5ac36c62450701eea78c0fb6,sg_user00101,1,0.0,0.0
cd41d900b4fb4c4fc3fd26845710e68ad59223c88fd57cd21505f1ee97c7722f9a4c9d320405fd9ed04ba58cc0c8cb29401ac737d90fb85974351a39a1e6f65c,sg_user00102,0,,
7eacc246bfe8b4393d3de5a20fe900059b2d697ce2e6795666380fb244331bdcd7a2bf356daaadb87044f78528463513642c8ba1a7b24b851d9c837c6dfd3470,sg_user00103,1,0.0,0.0
5cb22a9ecc9e04fa52378b0aea7c270de0e8e401891b98f434f5224c27f7022ee8a01d4e39f80120e20059d5b76193b7899ff38acaf9f662a886265814cb9e54,sg_user00104,1,1.0,1.0
dd85ab9aba00bf6d58e0ead8a0b967f19e26f7480fa6ec878ca4867d2e29d873d4b993187cea0d97d8c8110efbb9ceacd0eaa0c91ddea2282b52466c11e47db0,sg_user00105,1,1.0,1.0
4126f45a356372916d2252c4dbbf1f4e3819fdf77eeae008386131fc3f95d6c03b30a6d6269ec0925172c7b4d8ab6ac40b78ff6dec1c49c4ec3ffa3cbb058ef3,sg_user00106,1,0.0,0.0
f0a4b26d12f42f7c6bcd675b8fd012ad2b1bfa9e389077388f70cae18abd47beff5a848c2ef10354648bcef1b1fbc5eea29e37e569ebaf741b4e62b0b468bbfb,sg_user00107,0,,
b49330c304bf28249b80a92b069be934010e1c8a7d7dfdd8eb6850c926cf61479a32cae831f0ca342b99383f076d61ce1eaa6a04a6dabe84d6a078229372d484,sg_user00108,1,1.0,0.0
c8d2cd791d98aad7bb27f356f9bab50da138a359b36d381af6ec8a2bbafa824875a5af536e8d2ce4aced8054f074c0d96aecc858ae2924ed21511d2b6bd895d4,sg_user00109,1,0.0,1.0
b5b7e1990435448fd62f28adcec617bb5875c75e6191c330eba164e5730dc96eb2f247b6b746328b381bb29a1c6aee98beb9816d725470351902e3e91850de76,sg_user00110,1,0.0,0.0
cc91d5bd58bdc6c579466eda4eeeee5edf1b9f15f8dfe4c83fead37c28fcc5b362c908d52acea275db0ad2dc0585ff493e3e636282b2cb76a55ad20734dec81b,sg_user00111,1,1.0,0.0
4d79bb5d5456ee188799e62d480e9d9d5cd3fd276dbedbdbe9eadf156b71f7661254c6f7878e6ccada317fe2d95f4083b9ec22a4c9b5259aaaa9f1ee9d2a7502,sg_user00112,1,0.0,0.0
9181a477ed5038d4336872a38b31d118872a8966bf12da5ab549fbf67f5b57aa0bf65708b99ea98c38b4f14d6169258ea9ff5dedede0388f1b920715424949cf,sg_user00113,1,1.0,1.0
3d95337ed1f8fddb80f07f012a5a58c9300fc7b116fbafaf4501a22661213af78bb795674a849c132ac3369725a6675d4c69318c24b335aee90be00d1603735a,sg_user00114,1,0.0,1.0
e760c5077d4cdb8f9265d72e4fe7a9e7038de6874eda89cb2a8e848e6196a09bac69b03a4446e16022c2029c2859722bfaca8c10f19f446626dc951159b101c9,sg_user00115,0,,
172c53cb13c4babc414ce87772752e3e074deb2910824cfcf9c1bdd7f1bacd045bf7db3002f5b404044a39d6023a97dd3edcf240b7a245fa598f28fb92b9f928,sg_user00116,0,,
c20469edbb406c35ac73bebde23514addcf45e2a0e95311890f067a232604e299896545591d19814f89a724d7aee17dedd0064dde7cf469220aecf424cc861a3,sg_user00117,1,1.0,1.0
f1c73739885ff499cbef7adca61aa9758bc0bba9509d53c61b13f5bb3397d42f79402fc9d195ed55ac5744e37bc5fa31a753695995a791c4e9f5ac79ccee9b14,sg_user00118,0,,
70270aca2bd736ef0017d2c206437e43e8964f3f95ea82c816950cc20fed04117801d073595fed652f0d3402fbdd704bc7199310daf6d6bb7a8e7fa15b873f6a,sg_user00119,1,0.0,1.0
479877c609f09d88ec427f6de1360f6e976cf0598e9221befffbf652530e7d7764a53e2ccb8e19e974c5a5111f20c3c6b3d31009279e19d14f8c944de852c081,sg_user00120,1,0.0,1.0
67bbc35eeaea6908b5e11425301fd61a165a579cd63b03ae8dc43c1c42bdc6c835396f0fb8ca63f54cc29f88384cc2646361648e9fa801c46b094204b9ef4162,sg_user00121,1,1.0,1.0
